,Variable,Max,Average,Min
2010-11-01,Max Temperature,66.0,47.93,30.0
2010-11-01,Avg Temperature,60.23,44.54,28.98
2010-11-01,Min Temperature,57.0,41.23,27.0
2010-11-01,Dew Point,55.0,38.72,0.0
2010-11-01,Precipitation,0.0,0.0,0.0
2010-11-01,Snowdepth,0.0,0.0,0.0
2010-11-01,Wind,26.0,9.17,0.0
2010-11-01,Gust Wind,40.0,0.86,0.0
2010-11-01,Sea Level Pressure,29.84,29.33,28.5
2010-12-01,Max Temperature,43.0,32.35,23.0
2010-12-01,Avg Temperature,38.75,28.8,16.85
2010-12-01,Min Temperature,36.0,24.52,0.0
2010-12-01,Dew Point,39.0,23.68,0.0
2010-12-01,Precipitation,0.0,0.0,0.0
2010-12-01,Snowdepth,0.0,0.0,0.0
2010-12-01,Wind,29.0,7.82,0.0
2010-12-01,Gust Wind,39.0,0.24,0.0
2010-12-01,Sea Level Pressure,30.01,29.5,28.85
2011-01-01,Max Temperature,57.0,40.97,27.0
2011-01-01,Avg Temperature,53.81,36.78,22.87
2011-01-01,Min Temperature,52.0,31.87,19.0
2011-01-01,Dew Point,54.0,29.5,0.0
2011-01-01,Precipitation,0.0,0.0,0.0
2011-01-01,Snowdepth,0.0,0.0,0.0
2011-01-01,Wind,22.0,7.7,0.0
2011-01-01,Gust Wind,26.0,0.09,0.0
2011-01-01,Sea Level Pressure,30.13,29.7,29.14
2011-02-01,Max Temperature,54.0,42.75,27.0
2011-02-01,Avg Temperature,49.0,37.54,25.17
2011-02-01,Min Temperature,46.0,32.46,18.0
2011-02-01,Dew Point,52.0,29.1,0.0
2011-02-01,Precipitation,0.0,0.0,0.0
2011-02-01,Snowdepth,0.0,0.0,0.0
2011-02-01,Wind,26.0,8.24,0.0
2011-02-01,Gust Wind,37.0,0.13,0.0
2011-02-01,Sea Level Pressure,30.07,29.68,29.14
2011-03-01,Max Temperature,68.0,55.29,43.0
2011-03-01,Avg Temperature,56.54,45.76,35.79
2011-03-01,Min Temperature,50.0,36.48,27.0
2011-03-01,Dew Point,55.0,30.61,0.0
2011-03-01,Precipitation,0.0,0.0,0.0
2011-03-01,Snowdepth,0.0,0.0,0.0
2011-03-01,Wind,28.0,8.5,0.0
2011-03-01,Gust Wind,35.0,0.33,0.0
2011-03-01,Sea Level Pressure,30.28,29.77,29.23
2011-04-01,Max Temperature,81.0,68.3,55.0
2011-04-01,Avg Temperature,67.29,57.23,47.42
2011-04-01,Min Temperature,54.0,45.9,36.0
2011-04-01,Dew Point,55.0,39.48,0.0
2011-04-01,Precipitation,0.0,0.0,0.0
2011-04-01,Snowdepth,0.0,0.0,0.0
2011-04-01,Wind,31.0,8.08,0.0
2011-04-01,Gust Wind,54.0,0.72,0.0
2011-04-01,Sea Level Pressure,29.98,29.68,29.31
2011-05-01,Max Temperature,90.0,73.39,57.0
2011-05-01,Avg Temperature,72.19,61.37,46.94
2011-05-01,Min Temperature,61.0,48.84,30.0
2011-05-01,Dew Point,64.0,40.71,0.0
2011-05-01,Precipitation,0.0,0.0,0.0
2011-05-01,Snowdepth,0.0,0.0,0.0
2011-05-01,Wind,25.0,7.66,0.0
2011-05-01,Gust Wind,36.0,0.32,0.0
2011-05-01,Sea Level Pressure,30.01,29.67,29.31
2011-06-01,Max Temperature,91.0,73.7,61.0
2011-06-01,Avg Temperature,78.81,65.29,56.69
2011-06-01,Min Temperature,66.0,57.57,52.0
2011-06-01,Dew Point,70.0,53.14,34.0
