,Variable,Max,Average,Min
2010-11-01,Max Temperature,59.0,47.3,32.0
2010-11-01,Avg Temperature,58.19,42.98,28.03
2010-11-01,Min Temperature,57.0,36.57,0.0
2010-11-01,Dew Point,55.0,37.8,0.0
2010-11-01,Precipitation,0.0,0.0,0.0
2010-11-01,Snowdepth,0.0,0.0,0.0
2010-11-01,Wind,28.0,6.55,0.0
2010-11-01,Gust Wind,49.0,1.34,0.0
2010-11-01,Sea Level Pressure,30.15,29.67,28.47
2010-12-01,Max Temperature,48.0,37.8,28.0
2010-12-01,Avg Temperature,45.59,32.83,12.38
2010-12-01,Min Temperature,45.0,25.8,0.0
2010-12-01,Dew Point,46.0,27.97,0.0
2010-12-01,Precipitation,0.0,0.0,0.0
2010-12-01,Snowdepth,0.0,0.0,0.0
2010-12-01,Wind,18.0,4.44,0.0
2010-12-01,Gust Wind,31.0,0.16,0.0
2010-12-01,Sea Level Pressure,30.62,29.91,29.17
2011-01-01,Max Temperature,52.0,43.9,34.0
2011-01-01,Avg Temperature,51.47,40.38,30.75
2011-01-01,Min Temperature,50.0,35.52,23.0
2011-01-01,Dew Point,50.0,33.86,0.0
2011-01-01,Precipitation,0.0,0.0,0.0
2011-01-01,Snowdepth,0.0,0.0,0.0
2011-01-01,Wind,25.0,6.65,0.0
2011-01-01,Gust Wind,37.0,1.49,0.0
2011-01-01,Sea Level Pressure,30.68,30.04,29.14
2011-02-01,Max Temperature,55.0,48.25,41.0
2011-02-01,Avg Temperature,50.64,44.58,37.82
2011-02-01,Min Temperature,50.0,36.64,0.0
2011-02-01,Dew Point,50.0,39.85,0.0
2011-02-01,Precipitation,0.0,0.0,0.0
2011-02-01,Snowdepth,0.0,0.0,0.0
2011-02-01,Wind,24.0,8.34,0.0
2011-02-01,Gust Wind,43.0,1.42,0.0
2011-02-01,Sea Level Pressure,30.47,29.92,29.11
2011-03-01,Max Temperature,63.0,52.48,41.0
2011-03-01,Avg Temperature,54.18,46.06,35.66
2011-03-01,Min Temperature,52.0,36.81,23.0
2011-03-01,Dew Point,54.0,35.45,0.0
2011-03-01,Precipitation,0.0,0.0,0.0
2011-03-01,Snowdepth,0.0,0.0,0.0
2011-03-01,Wind,20.0,5.92,0.0
2011-03-01,Gust Wind,30.0,0.42,0.0
2011-03-01,Sea Level Pressure,30.71,30.14,29.41
2011-04-01,Max Temperature,75.0,63.27,52.0
2011-04-01,Avg Temperature,66.58,56.11,45.55
2011-04-01,Min Temperature,52.0,43.33,36.0
2011-04-01,Dew Point,54.0,42.93,0.0
2011-04-01,Precipitation,0.0,0.0,0.0
2011-04-01,Snowdepth,0.0,0.0,0.0
2011-04-01,Wind,21.0,6.43,0.0
2011-04-01,Gust Wind,31.0,0.46,0.0
2011-04-01,Sea Level Pressure,30.41,30.06,29.68
2011-05-01,Max Temperature,68.0,61.32,57.0
2011-05-01,Avg Temperature,61.43,56.09,51.97
2011-05-01,Min Temperature,55.0,46.9,32.0
2011-05-01,Dew Point,55.0,42.97,0.0
2011-05-01,Precipitation,0.0,0.0,0.0
2011-05-01,Snowdepth,0.0,0.0,0.0
2011-05-01,Wind,25.0,8.99,0.0
2011-05-01,Gust Wind,43.0,1.92,0.0
2011-05-01,Sea Level Pressure,30.35,30.03,29.7
2011-06-01,Max Temperature,77.0,64.07,57.0
2011-06-01,Avg Temperature,70.38,59.1,51.68
2011-06-01,Min Temperature,63.0,50.87,37.0
2011-06-01,Dew Point,63.0,49.26,36.0
2011-06-01,Precipitation,0.0,0.0,0.0
2011-06-01,Snowdepth,0.0,0.0,0.0
2011-06-01,Wind,24.0,8.71,0.0
2011-06-01,Gust Wind,40.0,1.37,0.0
2011-06-01,Sea Level Pressure,30.5,29.95,29.35
2011-07-01,Max Temperature,75.0,66.74,59.0
2011-07-01,Avg Temperature,65.85,61.18,56.36
2011-07-01,Min Temperature,57.0,51.35,45.0
2011-07-01,Dew Point,59.0,49.69,41.0
2011-07-01,Precipitation,0.0,0.0,0.0
2011-07-01,Snowdepth,0.0,0.0,0.0
2011-07-01,Wind,25.0,7.24,0.0
2011-07-01,Gust Wind,43.0,1.21,0.0
2011-07-01,Sea Level Pressure,30.32,29.89,29.29
2011-08-01,Max Temperature,77.0,66.0,55.0
2011-08-01,Avg Temperature,69.67,61.12,54.22
2011-08-01,Min Temperature,63.0,52.94,43.0
2011-08-01,Dew Point,64.0,51.71,39.0
2011-08-01,Precipitation,0.0,0.0,0.0
2011-08-01,Snowdepth,0.0,0.0,0.0
2011-08-01,Wind,22.0,7.01,0.0
2011-08-01,Gust Wind,33.0,0.3,0.0
2011-08-01,Sea Level Pressure,30.27,29.89,29.53
2011-09-01,Max Temperature,75.0,66.23,61.0
2011-09-01,Avg Temperature,65.3,60.35,54.33
2011-09-01,Min Temperature,61.0,51.6,39.0
2011-09-01,Dew Point,63.0,52.61,37.0
2011-09-01,Precipitation,0.0,0.0,0.0
2011-09-01,Snowdepth,0.0,0.0,0.0
2011-09-01,Wind,28.0,8.45,0.0
2011-09-01,Gust Wind,48.0,1.35,0.0
2011-09-01,Sea Level Pressure,30.35,29.91,29.56
2011-10-01,Max Temperature,77.0,60.94,52.0
2011-10-01,Avg Temperature,65.59,55.6,42.59
2011-10-01,Min Temperature,61.0,47.94,27.0
2011-10-01,Dew Point,61.0,48.14,0.0
2011-10-01,Precipitation,0.0,0.0,0.0
2011-10-01,Snowdepth,0.0,0.0,0.0
2011-10-01,Wind,21.0,7.08,0.0
2011-10-01,Gust Wind,33.0,0.69,0.0
2011-10-01,Sea Level Pressure,30.41,30.01,29.2
2011-11-01,Max Temperature,61.0,55.1,48.0
2011-11-01,Avg Temperature,57.97,50.92,40.97
2011-11-01,Min Temperature,54.0,43.07,0.0
2011-11-01,Dew Point,57.0,46.57,0.0
2011-11-01,Precipitation,0.0,0.0,0.0
2011-11-01,Snowdepth,0.0,0.0,0.0
2011-11-01,Wind,30.0,6.24,0.0
2011-11-01,Gust Wind,54.0,1.29,0.0
2011-11-01,Sea Level Pressure,30.38,29.98,29.23
2011-12-01,Max Temperature,55.0,48.63,41.0
2011-12-01,Avg Temperature,53.31,44.51,35.21
2011-12-01,Min Temperature,52.0,37.77,0.0
2011-12-01,Dew Point,52.0,35.85,0.0
2011-12-01,Precipitation,0.0,0.0,0.0
2011-12-01,Snowdepth,0.0,0.0,0.0
2011-12-01,Wind,33.0,8.38,0.0
2011-12-01,Gust Wind,62.0,1.92,0.0
2011-12-01,Sea Level Pressure,30.53,29.87,28.94
2012-01-01,Max Temperature,54.0,48.1,36.0
2012-01-01,Avg Temperature,51.48,43.68,31.65
2012-01-01,Min Temperature,48.0,37.74,21.0
2012-01-01,Dew Point,52.0,35.96,0.0
2012-01-01,Precipitation,0.0,0.0,0.0
2012-01-01,Snowdepth,0.0,0.0,0.0
2012-01-01,Wind,36.0,7.48,0.0
2012-01-01,Gust Wind,54.0,2.54,0.0
