,Variable,Max,Average,Min
2010-11-01,Max Temperature,75.0,69.3,61.0
2010-11-01,Avg Temperature,70.3,63.02,53.4
2010-11-01,Min Temperature,68.0,54.8,0.0
2010-11-01,Dew Point,66.0,55.02,0.0
2010-11-01,Precipitation,0.0,0.0,0.0
2010-11-01,Snowdepth,0.0,0.0,0.0
2010-11-01,Wind,30.0,7.75,0.0
2010-11-01,Gust Wind,44.0,3.14,0.0
2010-11-01,Sea Level Pressure,30.32,29.86,0.0
2010-12-01,Max Temperature,72.0,59.42,45.0
2010-12-01,Avg Temperature,68.96,54.42,38.4
2010-12-01,Min Temperature,68.0,48.29,32.0
2010-12-01,Dew Point,64.0,43.37,0.0
2010-12-01,Precipitation,0.0,0.0,0.0
2010-12-01,Snowdepth,0.0,0.0,0.0
2010-12-01,Wind,28.0,8.49,0.0
2010-12-01,Gust Wind,266.0,2.38,0.0
2010-12-01,Sea Level Pressure,30.2,29.85,0.0
2011-01-01,Max Temperature,64.0,57.19,48.0
2011-01-01,Avg Temperature,57.23,49.17,39.79
2011-01-01,Min Temperature,52.0,41.87,30.0
2011-01-01,Dew Point,55.0,43.02,0.0
2011-01-01,Precipitation,0.0,0.0,0.0
2011-01-01,Snowdepth,0.0,0.0,0.0
2011-01-01,Wind,24.0,3.71,0.0
2011-01-01,Gust Wind,32.0,0.07,0.0
2011-01-01,Sea Level Pressure,30.35,29.98,0.0
2011-02-01,Max Temperature,66.0,60.04,54.0
2011-02-01,Avg Temperature,59.0,51.34,45.67
2011-02-01,Min Temperature,54.0,43.18,34.0
2011-02-01,Dew Point,59.0,46.42,0.0
2011-02-01,Precipitation,0.0,0.0,0.0
2011-02-01,Snowdepth,0.0,0.0,0.0
2011-02-01,Wind,21.0,4.17,0.0
2011-02-01,Gust Wind,30.0,0.32,0.0
2011-02-01,Sea Level Pressure,30.26,29.88,0.0
2011-03-01,Max Temperature,70.0,62.19,50.0
2011-03-01,Avg Temperature,62.04,54.7,42.63
