,Variable,Max,Average,Min
2010-11-01,Max Temperature,73.0,63.3,50.0
2010-11-01,Avg Temperature,66.29,56.66,44.45
2010-11-01,Min Temperature,64.0,50.13,37.0
2010-11-01,Dew Point,59.0,49.49,34.0
2010-11-01,Precipitation,0.0,0.0,0.0
2010-11-01,Snowdepth,0.0,0.0,0.0
2010-11-01,Wind,22.0,6.36,0.0
2010-11-01,Gust Wind,39.0,0.72,0.0
2010-11-01,Sea Level Pressure,30.34,29.74,29.07
2010-12-01,Max Temperature,64.0,52.9,37.0
2010-12-01,Avg Temperature,62.31,46.4,25.35
2010-12-01,Min Temperature,59.0,39.39,0.0
2010-12-01,Dew Point,61.0,33.92,0.0
2010-12-01,Precipitation,0.0,0.0,0.0
2010-12-01,Snowdepth,0.0,0.0,0.0
2010-12-01,Wind,28.0,7.9,0.0
2010-12-01,Gust Wind,43.0,1.36,0.0
2010-12-01,Sea Level Pressure,30.22,29.81,29.28
2011-01-01,Max Temperature,59.0,51.65,43.0
2011-01-01,Avg Temperature,55.17,45.5,29.94
2011-01-01,Min Temperature,54.0,37.58,0.0
2011-01-01,Dew Point,54.0,34.45,0.0
2011-01-01,Precipitation,0.0,0.0,0.0
2011-01-01,Snowdepth,0.0,0.0,0.0
2011-01-01,Wind,25.0,6.16,0.0
2011-01-01,Gust Wind,38.0,1.13,0.0
2011-01-01,Sea Level Pressure,30.31,29.98,0.0
2011-02-01,Max Temperature,63.0,55.75,46.0
2011-02-01,Avg Temperature,54.46,47.07,39.3
2011-02-01,Min Temperature,50.0,39.29,34.0
2011-02-01,Dew Point,52.0,29.38,0.0
2011-02-01,Precipitation,0.0,0.0,0.0
2011-02-01,Snowdepth,0.0,0.0,0.0
2011-02-01,Wind,24.0,5.69,0.0
2011-02-01,Gust Wind,38.0,0.86,0.0
2011-02-01,Sea Level Pressure,30.28,29.92,29.49
2011-03-01,Max Temperature,70.0,58.74,43.0
2011-03-01,Avg Temperature,58.98,51.53,39.48
2011-03-01,Min Temperature,55.0,44.97,28.0
2011-03-01,Dew Point,55.0,36.41,0.0
2011-03-01,Precipitation,0.0,0.0,0.0
2011-03-01,Snowdepth,0.0,0.0,0.0
2011-03-01,Wind,33.0,8.06,0.0
2011-03-01,Gust Wind,49.0,2.3,0.0
2011-03-01,Sea Level Pressure,30.46,30.06,29.54
2011-04-01,Max Temperature,82.0,69.37,59.0
2011-04-01,Avg Temperature,67.56,60.68,51.29
2011-04-01,Min Temperature,59.0,51.63,43.0
2011-04-01,Dew Point,57.0,39.06,0.0
2011-04-01,Precipitation,0.0,0.0,0.0
2011-04-01,Snowdepth,0.0,0.0,0.0
2011-04-01,Wind,29.0,6.45,0.0
2011-04-01,Gust Wind,51.0,1.12,0.0
2011-04-01,Sea Level Pressure,30.19,29.9,29.6
2011-05-01,Max Temperature,86.0,74.87,61.0
2011-05-01,Avg Temperature,79.02,66.88,57.35
2011-05-01,Min Temperature,70.0,57.74,48.0
2011-05-01,Dew Point,64.0,49.05,0.0
2011-05-01,Precipitation,0.0,0.0,0.0
2011-05-01,Snowdepth,0.0,0.0,0.0
2011-05-01,Wind,26.0,6.68,0.0
2011-05-01,Gust Wind,39.0,1.21,0.0
2011-05-01,Sea Level Pressure,30.22,29.92,29.49
