,Variable,Max,Average,Min
2010-01-01,Max Temperature,61.0,56.74,45.0
2010-01-01,Avg Temperature,55.66,50.15,41.36
2010-01-01,Min Temperature,54.0,42.35,30.0
2010-01-01,Dew Point,57.0,43.11,0.0
2010-01-01,Precipitation,0.0,0.0,0.0
2010-01-01,Snowdepth,0.0,0.0,0.0
2010-01-01,Wind,39.0,7.18,0.0
2010-01-01,Gust Wind,62.0,3.04,0.0
2010-01-01,Sea Level Pressure,30.24,29.88,29.18
2010-02-01,Max Temperature,66.0,57.79,46.0
2010-02-01,Avg Temperature,60.14,51.37,39.91
2010-02-01,Min Temperature,57.0,43.39,30.0
2010-02-01,Dew Point,57.0,43.41,0.0
2010-02-01,Precipitation,0.0,0.0,0.0
2010-02-01,Snowdepth,0.0,0.0,0.0
2010-02-01,Wind,32.0,7.07,0.0
2010-02-01,Gust Wind,45.0,1.47,0.0
2010-02-01,Sea Level Pressure,30.27,29.73,28.97
2010-03-01,Max Temperature,68.0,60.23,41.0
2010-03-01,Avg Temperature,60.9,51.72,37.63
2010-03-01,Min Temperature,57.0,42.65,30.0
2010-03-01,Dew Point,59.0,43.98,0.0
2010-03-01,Precipitation,0.0,0.0,0.0
2010-03-01,Snowdepth,0.0,0.0,0.0
2010-03-01,Wind,234.0,6.5,0.0
2010-03-01,Gust Wind,41.0,0.7,0.0
2010-03-01,Sea Level Pressure,30.45,30.02,29.48
2010-04-01,Max Temperature,77.0,66.3,59.0
2010-04-01,Avg Temperature,64.78,57.41,51.94
2010-04-01,Min Temperature,54.0,47.93,39.0
2010-04-01,Dew Point,63.0,50.37,34.0
2010-04-01,Precipitation,0.0,0.0,0.0
2010-04-01,Snowdepth,0.0,0.0,0.0
2010-04-01,Wind,20.0,5.27,0.0
2010-04-01,Gust Wind,30.0,0.12,0.0
2010-04-01,Sea Level Pressure,30.36,30.01,29.68
2010-05-01,Max Temperature,84.0,71.52,59.0
2010-05-01,Avg Temperature,73.6,62.81,53.22
2010-05-01,Min Temperature,63.0,53.03,46.0
2010-05-01,Dew Point,66.0,53.76,34.0
2010-05-01,Precipitation,0.0,0.0,0.0
